C-SDB_TIT-0;C-W96-0;C-SDB_BBTR-0;F-ANK;F-UEB
201902;W96-1;1;38672;85062
201902;W96-1;2;6032;12554
201902;W96-1;3;768;2008
201902;W96-1;4;595;1299
201902;W96-1;70;2;4
201902;W96-1;81;264;352
201902;W96-1;71;374;9831
201902;W96-1;76;1658;24911
201902;W96-1;84;188;376
201902;W96-1;60;945;1869
201902;W96-1;61;76;145
201902;W96-1;86;670;1907
201902;W96-1;87;80;270
201902;W96-2;1;84874;343720
201902;W96-2;2;49664;184408
201902;W96-2;3;9869;35861
201902;W96-2;4;27875;156849
201902;W96-2;70;992;3603
201902;W96-2;81;4175;16744
201902;W96-2;73;2471;14609
201902;W96-2;71;1213;20998
201902;W96-2;76;622;9103
201902;W96-2;83;342;1180
201902;W96-2;84;6302;29313
201902;W96-2;60;3791;15915
201902;W96-2;61;803;4072
201902;W96-2;86;23914;130096
201902;W96-2;87;4036;23272
201902;W96-3;1;73998;152216
201902;W96-3;2;46593;104421
201902;W96-3;3;19391;52066
201902;W96-3;4;1496;5399
201902;W96-3;70;254;504
201902;W96-3;81;2002;5776
201902;W96-3;71;920;19442
201902;W96-3;76;3466;53612
201902;W96-3;83;609;904
201902;W96-3;84;6683;20512
201902;W96-3;60;5072;16759
201902;W96-3;61;2584;8745
201902;W96-3;86;3207;13130
201902;W96-3;87;1161;4379
201902;W96-4;1;81102;189467
201902;W96-4;2;50101;114497
201902;W96-4;3;22081;61145
201902;W96-4;4;3640;14409
201902;W96-4;70;89;487
201902;W96-4;81;5376;13742
201902;W96-4;73;3778;13124
201902;W96-4;71;2453;54487
201902;W96-4;76;2639;22731
201902;W96-4;83;2535;4716
201902;W96-4;84;5866;16473
201902;W96-4;60;5723;18814
201902;W96-4;61;1635;6934
201902;W96-4;86;7179;29315
201902;W96-4;87;2637;13294
201902;W96-5;1;316178;1275175
201902;W96-5;2;210728;894088
201902;W96-5;3;52902;192360
201902;W96-5;4;116865;713706
201902;W96-5;70;2994;18814
201902;W96-5;81;10748;39663
201902;W96-5;73;49970;238419
201902;W96-5;71;1117;27080
201902;W96-5;76;1333;20755
201902;W96-5;83;3611;12231
201902;W96-5;84;8540;30176
201902;W96-5;60;25926;127442
201902;W96-5;61;13690;70018
201902;W96-5;86;109538;661674
201902;W96-5;87;30763;182771
201902;W96-6;1;133973;406993
201902;W96-6;2;95327;337159
201902;W96-6;3;19725;64233
201902;W96-6;4;44355;239173
201902;W96-6;70;1082;4477
201902;W96-6;81;9903;29490
201902;W96-6;73;1908;7114
201902;W96-6;71;902;17875
201902;W96-6;76;1512;25403
201902;W96-6;83;2208;7230
201902;W96-6;84;6392;28689
201902;W96-6;60;12110;49846
201902;W96-6;61;6370;28160
201902;W96-6;86;27756;151497
201902;W96-6;87;5492;29444
201902;W96-7;1;502898;2251766
201902;W96-7;2;275479;1220921
201902;W96-7;3;166941;744813
201902;W96-7;4;156661;942706
201902;W96-7;70;15414;76700
201902;W96-7;81;8970;47582
201902;W96-7;73;7692;37720
201902;W96-7;71;173;2845
201902;W96-7;76;509;3705
201902;W96-7;83;9521;21474
201902;W96-7;84;9921;39740
201902;W96-7;60;51330;253856
201902;W96-7;61;16199;82095
201902;W96-7;86;239334;1473627
201902;W96-7;87;38789;236116
201902;W96-8;1;109254;434867
201902;W96-8;2;60758;252802
201902;W96-8;3;24620;89133
201902;W96-8;4;24464;147062
201902;W96-8;70;3742;17026
201902;W96-8;81;3567;7681
201902;W96-8;73;2515;10157
201902;W96-8;76;136;519
201902;W96-8;83;825;2545
201902;W96-8;84;11550;43700
201902;W96-8;60;10108;48047
201902;W96-8;61;1267;5713
201902;W96-8;86;48408;285058
201902;W96-8;87;5418;31855
201902;W96-9;1;248742;492827
201902;W96-9;2;128675;264666
201902;W96-9;3;30684;64760
201902;W96-9;4;15213;46078
201902;W96-9;70;27;127
201902;W96-9;81;22079;49676
201902;W96-9;60;2674;8722
201902;W96-9;86;8066;31095
201903;W96-1;1;41339;88833
201903;W96-1;2;9261;20429
201903;W96-1;3;1461;3569
201903;W96-1;4;586;1336
201903;W96-1;70;734;1412
201903;W96-1;81;576;914
201903;W96-1;73;32;32
201903;W96-1;71;403;11336
201903;W96-1;76;1825;28099
201903;W96-1;84;309;609
201903;W96-1;60;1593;2836
201903;W96-1;61;434;958
201903;W96-1;86;784;2375
201903;W96-1;87;101;515
201903;W96-2;1;73994;266709
201903;W96-2;2;39009;123732
201903;W96-2;3;7414;26023
201903;W96-2;4;17265;97207
201903;W96-2;70;955;3416
201903;W96-2;81;3079;10210
201903;W96-2;73;2431;12868
201903;W96-2;71;1275;23888
201903;W96-2;76;716;10073
201903;W96-2;83;320;836
201903;W96-2;84;3103;14541
201903;W96-2;60;2920;11774
201903;W96-2;61;521;2192
201903;W96-2;86;13099;72931
201903;W96-2;87;2267;13829
201903;W96-3;1;94933;186832
201903;W96-3;2;55094;116448
201903;W96-3;3;20546;48016
201903;W96-3;4;1479;5475
201903;W96-3;70;639;1273
201903;W96-3;81;1896;3659
201903;W96-3;71;1063;22619
201903;W96-3;76;3551;59300
201903;W96-3;83;504;587
201903;W96-3;84;8007;22462
201903;W96-3;60;5928;18296
201903;W96-3;61;2898;9443
201903;W96-3;86;2226;8750
201903;W96-3;87;896;3940
201903;W96-4;1;89657;188824
201903;W96-4;2;54634;114496
201903;W96-4;3;22785;60275
201903;W96-4;4;2682;8871
201903;W96-4;70;339;787
201903;W96-4;81;6352;11111
201903;W96-4;73;2656;9864
201903;W96-4;71;2731;62129
201903;W96-4;76;2768;25903
201903;W96-4;83;2111;4080
201903;W96-4;84;6688;15555
201903;W96-4;60;5540;17538
201903;W96-4;61;1207;4767
201903;W96-4;86;4708;16746
201903;W96-4;87;1691;7536
201903;W96-5;1;297597;1053032
201903;W96-5;2;186546;688847
201903;W96-5;3;46033;147287
201903;W96-5;4;91815;516429
201903;W96-5;70;3159;19258
201903;W96-5;81;11581;33493
201903;W96-5;73;48975;214324
201903;W96-5;71;1384;29818
201903;W96-5;76;1547;23965
